code|await_sync_at|barcode|cbenef|cest|cfop|cofins_aliquota|description|divergent_columns|estado_destino|estado_origem|icms_aliquota|icms_aliquota_reduzida|icms_cst|naturezareceita|naturezareceita_id|ncm|pis_aliquota|piscofins_cst|protege|sequencial|status_item|sync_at|sync_validate_at
500439|2024-10-28 18:04:58.498525+00:00|7891000089231||1705300|5102|0.0|PRESTIGIO BISCOITO RECHEADO 140GR|pis_aliquota, cofins_aliquota|||19|19|0|0||19053100|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500440|2024-10-28 18:04:58.498525+00:00|7896090100118||1101100|5102|0.0|LA ACO ASSOLAN 10% DESC 8UN 60G|pis_aliquota, cofins_aliquota|||19|19|0|0||73231000|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500441|2024-10-28 18:04:58.498525+00:00|7896253401540||1705700|5102|0.0|WAFER RANCHEIRO LIMAO 78G|pis_aliquota, cofins_aliquota|||19|19|0|0||19053200|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500442|2024-10-28 18:04:58.498525+00:00|070330183575||1902700|5102|0.0|CANETA BIC CRISTAL FINA AZUL|icms_aliquota, cbenef, pis_aliquota, cofins_aliquota|||12|12|20|0||96081000|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500444|2024-10-28 18:04:58.498525+00:00|7896071025508||1703000|5102|0.0|SALG SKINY 38G CLASSICO NATURAL|pis_aliquota, cofins_aliquota|||19|19|0|0||19041000|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500445|2024-10-28 18:04:58.498525+00:00|7891008116779|||5102|0.0|PASTILHA GAROTO 17GR MENTA|pis_aliquota, cofins_aliquota|||19|19|0|0||17049020|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500447|2024-10-28 18:04:58.498525+00:00|7891035800214||1100700|5102|0.0|LIMP VEJA 500ML M USO ORIGINAL 10%DESC|pis_aliquota, cofins_aliquota|||19|19|0|0||34025000|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500448|2024-10-28 18:04:58.498525+00:00|7896098909751||1100400|5102|0.0|SABAO PO TIXAN MACIEZ CT 800G|pis_aliquota, cofins_aliquota|||19|19|0|0||34025000|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500449|2024-10-28 18:04:58.498525+00:00|7897534826335||1100700|5102|0.0|LAVA LOUCAS AZULIM MACA 500ML|pis_aliquota, cofins_aliquota|||19|19|0|0||34029039|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500450|2024-10-28 18:04:58.498525+00:00|7896797900059|||5102|0.0|OVOS SOUZA LIMA VERM 30UN PVC|cbenef, naturezareceita|||0|0|40|0|15.0|04072100|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500451|2024-10-28 18:04:58.498525+00:00|78602731||1700900|5102|0.0|CHOC FERRERO KINDER JOY 20GR|pis_aliquota, cofins_aliquota|||19|19|0|0||18069000|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500452|2024-10-28 18:04:58.498525+00:00|7622300861919|||5102|0.0|REFRESCO TANG LIMAO 25G|pis_aliquota, cofins_aliquota|||19|19|0|0||21069010|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500454|2024-10-28 18:04:58.498525+00:00|7622300830151||1705300|5102|0.0|BISC RECH OREO 90GR ORIGINAL|pis_aliquota, cofins_aliquota|||19|19|0|0||19053100|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500455|2024-10-28 18:04:58.498525+00:00|7896077039172||1703102|5102|0.0|BISCOITO DOCE SUPER 200G|pis_aliquota, cofins_aliquota|||19|19|0|0||19059090|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500456|2024-10-28 18:04:58.498525+00:00|7891079012963||1704701|5102|0.0|MAC NISSIN LAM COSTELA 85G|icms_aliquota, cbenef, naturezareceita|||7|7|20|0|16.0|19023000|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500460|2024-10-28 18:04:58.498525+00:00|7891193010302||1706000|5102|0.0|PAO INTEGRAL SEVEN BOYS 450G|pis_aliquota, cofins_aliquota|||19|19|0|0||19059010|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
